Date,Open,High,Low
2021-08-31T09:15:00+0530,36367.4,36408.5,36361.25
2021-08-31T09:16:00+0530,36390.55,36397.1,36343.1
2021-08-31T09:17:00+0530,36360.95,36372.15,36321.1
2021-08-31T09:18:00+0530,36327.65,36334.4,36306.9
2021-08-31T09:19:00+0530,36333.45,36339.0,36304.8
2021-08-31T09:20:00+0530,36326.1,36331.2,36288.65
2021-08-31T09:21:00+0530,36299.0,36299.0,36282.0
2021-08-31T09:22:00+0530,36283.35,36340.45,36272.5
2021-08-31T09:23:00+0530,36341.95,36471.75,36340.1
2021-08-31T09:24:00+0530,36468.65,36484.9,36451.3
2021-08-31T09:25:00+0530,36484.15,36486.2,36460.05
2021-08-31T09:26:00+0530,36459.85,36491.05,36446.45
2021-08-31T09:27:00+0530,36492.9,36495.65,36477.4
2021-08-31T09:28:00+0530,36489.45,36502.4,36472.65
2021-08-31T09:29:00+0530,36487.05,36490.45,36431.25
2021-08-31T09:30:00+0530,36452.1,36455.05,36379.5
2021-08-31T09:31:00+0530,36414.6,36418.25,36400.35
2021-08-31T09:32:00+0530,36403.4,36411.5,36307.7
2021-08-31T09:33:00+0530,36315.65,36334.3,36256.35
2021-08-31T09:34:00+0530,36298.3,36342.85,36294.0
2021-08-31T09:35:00+0530,36306.1,36328.8,36295.85
2021-08-31T09:36:00+0530,36326.2,36353.05,36320.7
2021-08-31T09:37:00+0530,36331.05,36342.25,36321.0
2021-08-31T09:38:00+0530,36330.5,36330.65,36285.75
2021-08-31T09:39:00+0530,36296.8,36300.0,36267.15
2021-08-31T09:40:00+0530,36272.3,36325.8,36265.6
2021-08-31T09:41:00+0530,36321.55,36339.85,36293.9
2021-08-31T09:42:00+0530,36300.65,36326.75,36300.65
2021-08-31T09:43:00+0530,36312.3,36326.85,36306.45
2021-08-31T09:44:00+0530,36326.9,36331.35,36275.2
2021-08-31T09:45:00+0530,36276.3,36306.35,36266.1
2021-08-31T09:46:00+0530,36283.8,36303.0,36280.05
2021-08-31T09:47:00+0530,36290.15,36302.3,36286.5
2021-08-31T09:48:00+0530,36295.3,36300.0,36286.35
2021-08-31T09:49:00+0530,36294.85,36307.25,36287.2
2021-08-31T09:50:00+0530,36285.95,36305.25,36285.95
2021-08-31T09:51:00+0530,36307.3,36352.85,36303.15
2021-08-31T09:52:00+0530,36331.8,36353.75,36331.8
2021-08-31T09:53:00+0530,36349.9,36374.45,36348.75
2021-08-31T09:54:00+0530,36360.75,36361.95,36342.15
2021-08-31T09:55:00+0530,36350.0,36362.0,36348.95
2021-08-31T09:56:00+0530,36357.95,36366.6,36335.15
2021-08-31T09:57:00+0530,36334.4,36347.85,36331.0
2021-08-31T09:58:00+0530,36333.45,36352.3,36327.65
2021-08-31T09:59:00+0530,36329.55,36332.7,36321.3
2021-08-31T10:00:00+0530,36326.6,36330.15,36310.0
2021-08-31T10:01:00+0530,36310.4,36317.85,36306.2
2021-08-31T10:02:00+0530,36315.95,36318.5,36306.75
2021-08-31T10:03:00+0530,36308.45,36312.5,36295.7
2021-08-31T10:04:00+0530,36306.0,36306.0,36290.65
2021-08-31T10:05:00+0530,36290.4,36315.6,36287.95
2021-08-31T10:06:00+0530,36304.55,36305.1,36273.1
2021-08-31T10:07:00+0530,36289.6,36311.55,36288.35
2021-08-31T10:08:00+0530,36309.0,36338.0,36309.0
2021-08-31T10:09:00+0530,36338.65,36349.7,36334.6
2021-08-31T10:10:00+0530,36350.4,36351.6,36332.25
2021-08-31T10:11:00+0530,36339.7,36346.45,36326.05
2021-08-31T10:12:00+0530,36342.1,36348.7,36332.85
2021-08-31T10:13:00+0530,36332.15,36335.5,36328.05
2021-08-31T10:14:00+0530,36332.5,36338.55,36326.0
2021-08-31T10:15:00+0530,36328.75,36347.25,36326.95
2021-08-31T10:16:00+0530,36345.05,36347.05,36333.1
2021-08-31T10:17:00+0530,36346.5,36351.2,36339.3
2021-08-31T10:18:00+0530,36343.4,36344.95,36328.3
2021-08-31T10:19:00+0530,36336.45,36337.1,36312.65
2021-08-31T10:20:00+0530,36321.1,36325.2,36311.95
2021-08-31T10:21:00+0530,36321.15,36333.25,36318.7
2021-08-31T10:22:00+0530,36322.3,36330.15,36317.05
2021-08-31T10:23:00+0530,36321.35,36331.35,36311.4
2021-08-31T10:24:00+0530,36331.7,36331.7,36318.6
2021-08-31T10:25:00+0530,36321.9,36323.85,36314.85
2021-08-31T10:26:00+0530,36318.85,36318.85,36306.65
2021-08-31T10:27:00+0530,36309.25,36320.6,36309.25
2021-08-31T10:28:00+0530,36317.9,36324.15,36310.85
2021-08-31T10:29:00+0530,36320.15,36328.4,36308.1
2021-08-31T10:30:00+0530,36317.2,36330.05,36317.2
2021-08-31T10:31:00+0530,36329.3,36332.6,36327.75
