,Date,Open,High,Low
6000,2021-09-07T09:15:00+0530,36558.85,36593.1,36482.6
6001,2021-09-07T09:16:00+0530,36580.0,36598.3,36566.5
6002,2021-09-07T09:17:00+0530,36577.65,36619.0,36572.9
6003,2021-09-07T09:18:00+0530,36588.5,36604.15,36574.3
6004,2021-09-07T09:19:00+0530,36597.75,36597.75,36517.2
6005,2021-09-07T09:20:00+0530,36523.25,36536.35,36488.1
6006,2021-09-07T09:21:00+0530,36478.8,36478.8,36437.2
6007,2021-09-07T09:22:00+0530,36449.75,36466.25,36426.45
6008,2021-09-07T09:23:00+0530,36437.35,36463.0,36427.5
6009,2021-09-07T09:24:00+0530,36457.3,36460.75,36424.6
6010,2021-09-07T09:25:00+0530,36423.85,36446.95,36408.25
6011,2021-09-07T09:26:00+0530,36421.05,36456.6,36401.0
6012,2021-09-07T09:27:00+0530,36414.45,36443.25,36403.25
6013,2021-09-07T09:28:00+0530,36438.4,36444.9,36414.95
6014,2021-09-07T09:29:00+0530,36431.5,36438.1,36406.85
6015,2021-09-07T09:30:00+0530,36415.5,36415.5,36382.4
6016,2021-09-07T09:31:00+0530,36376.95,36379.85,36347.6
6017,2021-09-07T09:32:00+0530,36364.65,36364.65,36341.35
6018,2021-09-07T09:33:00+0530,36342.15,36378.3,36338.7
6019,2021-09-07T09:34:00+0530,36371.45,36386.9,36371.45
6020,2021-09-07T09:35:00+0530,36382.3,36410.75,36375.4
6021,2021-09-07T09:36:00+0530,36393.15,36416.75,36386.3
6022,2021-09-07T09:37:00+0530,36412.45,36412.45,36383.5
6023,2021-09-07T09:38:00+0530,36386.55,36399.45,36368.7
6024,2021-09-07T09:39:00+0530,36370.25,36373.6,36348.8
6025,2021-09-07T09:40:00+0530,36350.3,36376.05,36343.35
6026,2021-09-07T09:41:00+0530,36374.75,36388.25,36367.85
6027,2021-09-07T09:42:00+0530,36370.5,36381.0,36363.6
6028,2021-09-07T09:43:00+0530,36379.45,36381.35,36371.5
6029,2021-09-07T09:44:00+0530,36376.5,36381.2,36364.95
6030,2021-09-07T09:45:00+0530,36369.5,36383.35,36363.65
6031,2021-09-07T09:46:00+0530,36365.75,36368.0,36349.6
6032,2021-09-07T09:47:00+0530,36351.35,36367.3,36348.4
6033,2021-09-07T09:48:00+0530,36357.45,36361.3,36350.05
