,Date,Open,High,Low
0,2021-08-13T09:15:00+0530,36000.75,36082.95,36000.75
1,2021-08-13T09:16:00+0530,36090.7,36121.55,36089.25
2,2021-08-13T09:17:00+0530,36105.65,36108.0,36089.5
3,2021-08-13T09:18:00+0530,36097.1,36118.45,36095.3
4,2021-08-13T09:19:00+0530,36093.65,36130.2,36093.65
5,2021-08-13T09:20:00+0530,36126.6,36164.15,36126.6
6,2021-08-13T09:21:00+0530,36158.65,36159.0,36133.75
7,2021-08-13T09:22:00+0530,36148.15,36148.15,36106.1
8,2021-08-13T09:23:00+0530,36119.85,36140.8,36119.25
9,2021-08-13T09:24:00+0530,36133.6,36152.95,36128.55
10,2021-08-13T09:25:00+0530,36130.0,36139.3,36122.65
11,2021-08-13T09:26:00+0530,36131.25,36144.65,36120.9
12,2021-08-13T09:27:00+0530,36135.4,36144.2,36124.35
13,2021-08-13T09:28:00+0530,36142.6,36162.85,36133.25
14,2021-08-13T09:29:00+0530,36162.5,36164.65,36144.55
15,2021-08-13T09:30:00+0530,36156.55,36177.1,36156.05
16,2021-08-13T09:31:00+0530,36167.6,36167.95,36141.1
17,2021-08-13T09:32:00+0530,36146.1,36149.2,36138.05
18,2021-08-13T09:33:00+0530,36145.15,36154.8,36142.1
19,2021-08-13T09:34:00+0530,36144.85,36152.5,36139.65
20,2021-08-13T09:35:00+0530,36141.55,36141.55,36100.2
21,2021-08-13T09:36:00+0530,36129.65,36149.15,36123.35
22,2021-08-13T09:37:00+0530,36142.6,36150.35,36135.7
23,2021-08-13T09:38:00+0530,36143.35,36145.7,36130.4
24,2021-08-13T09:39:00+0530,36135.55,36139.45,36128.5
25,2021-08-13T09:40:00+0530,36134.8,36136.45,36110.25
26,2021-08-13T09:41:00+0530,36118.8,36122.7,36109.6
27,2021-08-13T09:42:00+0530,36122.8,36130.4,36115.9
28,2021-08-13T09:43:00+0530,36123.0,36129.5,36115.2
29,2021-08-13T09:44:00+0530,36121.25,36121.7,36103.55
30,2021-08-13T09:45:00+0530,36115.55,36117.7,36095.1
31,2021-08-13T09:46:00+0530,36094.5,36094.5,36058.7
32,2021-08-13T09:47:00+0530,36066.4,36081.55,36062.45
33,2021-08-13T09:48:00+0530,36064.6,36076.8,36053.95
34,2021-08-13T09:49:00+0530,36074.05,36079.0,36064.7
35,2021-08-13T09:50:00+0530,36074.6,36086.7,36065.1
36,2021-08-13T09:51:00+0530,36084.4,36089.4,36077.5
37,2021-08-13T09:52:00+0530,36085.45,36096.8,36085.45
38,2021-08-13T09:53:00+0530,36096.15,36097.05,36089.0
39,2021-08-13T09:54:00+0530,36089.8,36107.25,36088.9
40,2021-08-13T09:55:00+0530,36105.35,36105.35,36088.35
41,2021-08-13T09:56:00+0530,36096.25,36108.75,36093.8
42,2021-08-13T09:57:00+0530,36106.2,36112.1,36102.05
43,2021-08-13T09:58:00+0530,36101.2,36110.2,36098.0
44,2021-08-13T09:59:00+0530,36110.15,36113.3,36102.25
45,2021-08-13T10:00:00+0530,36110.55,36113.8,36097.4
46,2021-08-13T10:01:00+0530,36102.1,36102.55,36091.85
47,2021-08-13T10:02:00+0530,36093.65,36093.65,36076.3
48,2021-08-13T10:03:00+0530,36084.15,36096.45,36082.7
49,2021-08-13T10:04:00+0530,36090.3,36093.25,36080.9
50,2021-08-13T10:05:00+0530,36083.5,36083.5,36067.95
51,2021-08-13T10:06:00+0530,36073.2,36086.55,36071.55
52,2021-08-13T10:07:00+0530,36081.9,36083.45,36071.95
53,2021-08-13T10:08:00+0530,36077.0,36079.0,36068.6
54,2021-08-13T10:09:00+0530,36070.85,36070.85,36050.05
55,2021-08-13T10:10:00+0530,36054.35,36059.45,36043.2
56,2021-08-13T10:11:00+0530,36056.7,36062.55,36044.55
57,2021-08-13T10:12:00+0530,36055.95,36063.05,36053.7
58,2021-08-13T10:13:00+0530,36064.45,36069.25,36055.8
59,2021-08-13T10:14:00+0530,36060.9,36074.65,36052.45
60,2021-08-13T10:15:00+0530,36076.05,36079.25,36066.15
61,2021-08-13T10:16:00+0530,36079.6,36083.65,36074.05
62,2021-08-13T10:17:00+0530,36078.05,36085.65,36073.3
63,2021-08-13T10:18:00+0530,36080.85,36088.5,36073.5
64,2021-08-13T10:19:00+0530,36083.1,36085.1,36062.7
65,2021-08-13T10:20:00+0530,36064.5,36064.5,36047.2
66,2021-08-13T10:21:00+0530,36050.4,36053.65,36041.35
67,2021-08-13T10:22:00+0530,36042.1,36042.1,36026.0
68,2021-08-13T10:23:00+0530,36037.55,36051.65,36033.85
69,2021-08-13T10:24:00+0530,36052.9,36052.9,36033.1
70,2021-08-13T10:25:00+0530,36033.7,36047.25,36026.95
71,2021-08-13T10:26:00+0530,36037.85,36045.65,36032.4
72,2021-08-13T10:27:00+0530,36040.1,36042.25,36031.95
73,2021-08-13T10:28:00+0530,36035.45,36044.0,36032.55
74,2021-08-13T10:29:00+0530,36035.8,36039.0,36023.4
75,2021-08-13T10:30:00+0530,36027.35,36052.25,36027.35
76,2021-08-13T10:31:00+0530,36053.0,36056.3,36036.9
77,2021-08-13T10:32:00+0530,36037.45,36042.15,36028.4
78,2021-08-13T10:33:00+0530,36038.1,36061.5,36037.2
79,2021-08-13T10:34:00+0530,36057.15,36057.15,36039.35
80,2021-08-13T10:35:00+0530,36044.35,36052.1,36042.0
81,2021-08-13T10:36:00+0530,36050.3,36052.45,36040.6
82,2021-08-13T10:37:00+0530,36047.9,36055.45,36039.75
83,2021-08-13T10:38:00+0530,36039.3,36047.65,36036.05
84,2021-08-13T10:39:00+0530,36043.25,36060.9,36043.25
85,2021-08-13T10:40:00+0530,36054.3,36057.15,36046.5
86,2021-08-13T10:41:00+0530,36053.85,36058.25,36048.05
87,2021-08-13T10:42:00+0530,36050.15,36076.05,36050.15
88,2021-08-13T10:43:00+0530,36071.3,36081.0,36064.1
89,2021-08-13T10:44:00+0530,36064.4,36078.45,36062.2
90,2021-08-13T10:45:00+0530,36074.5,36075.35,36067.3
91,2021-08-13T10:46:00+0530,36073.5,36074.9,36057.35
92,2021-08-13T10:47:00+0530,36061.8,36064.65,36051.65
93,2021-08-13T10:48:00+0530,36062.55,36063.65,36051.05
94,2021-08-13T10:49:00+0530,36055.5,36058.5,36049.25
95,2021-08-13T10:50:00+0530,36052.95,36065.15,36050.15
96,2021-08-13T10:51:00+0530,36061.95,36067.8,36060.5
