Date,Open,High,Low,Close
2021-09-13T09:15:00+0530,36608.45,36690.2,36488.25,36513.3
2021-09-13T09:16:00+0530,36513.45,36530.6,36496.4,36513.75
2021-09-13T09:17:00+0530,36514.9,36515.6,36472.7,36515.6
2021-09-13T09:18:00+0530,36516.05,36554.7,36509.2,36517.45
2021-09-13T09:19:00+0530,36515.7,36516.95,36466.85,36506.6
2021-09-13T09:20:00+0530,36506.1,36511.05,36470.35,36496.9
2021-09-13T09:21:00+0530,36496.35,36519.25,36474.7,36513
2021-09-13T09:22:00+0530,36512.55,36529.9,36496.25,36512
2021-09-13T09:23:00+0530,36517.35,36535.2,36513.6,36526.15
2021-09-13T09:24:00+0530,36528.15,36539.25,36516.7,36527.7
2021-09-13T09:25:00+0530,36526.55,36533.8,36523.35,36530.75
2021-09-13T09:26:00+0530,36527.75,36528.45,36510.5,36510.5
2021-09-13T09:27:00+0530,36507.85,36507.85,36480.65,36481.8
2021-09-13T09:28:00+0530,36480.2,36480.35,36439.4,36444.5
2021-09-13T09:29:00+0530,36443.8,36457.1,36442.05,36457.1
2021-09-13T09:30:00+0530,36453.75,36465.45,36424.35,36452.55
2021-09-13T09:31:00+0530,36453.65,36488.25,36451.95,36486.9
2021-09-13T09:32:00+0530,36484.1,36486.1,36478.1,36480.75
2021-09-13T09:33:00+0530,36483.85,36499.7,36483.1,36487.05
2021-09-13T09:34:00+0530,36483.8,36484.65,36464.7,36467.7
2021-09-13T09:35:00+0530,36471.15,36472.6,36456.85,36462.5
2021-09-13T09:36:00+0530,36462.05,36480.9,36457.8,36457.8
2021-09-13T09:37:00+0530,36460.1,36476.7,36453.2,36476.7
2021-09-13T09:38:00+0530,36478.45,36483.15,36467.8,36474.45
2021-09-13T09:39:00+0530,36475.7,36483.05,36472.9,36474.1
2021-09-13T09:40:00+0530,36473.7,36501.15,36470.95,36488.25
2021-09-13T09:41:00+0530,36488.5,36493.5,36483.55,36491.55
2021-09-13T09:42:00+0530,36492.2,36496.1,36483.55,36494.35
2021-09-13T09:43:00+0530,36493.4,36504.2,36484.4,36499.05
2021-09-13T09:44:00+0530,36500.7,36515.4,36498.65,36513.65
2021-09-13T09:45:00+0530,36513.45,36529.65,36499.6,36503.35
2021-09-13T09:46:00+0530,36502.05,36505.25,36481.7,36481.7
2021-09-13T09:47:00+0530,36480.65,36488.65,36479.15,36484.9
2021-09-13T09:48:00+0530,36481.9,36483.25,36468.5,36471.1
2021-09-13T09:49:00+0530,36469,36473.2,36460.15,36464.6
2021-09-13T09:50:00+0530,36462.85,36462.85,36427.75,36437.05
2021-09-13T09:51:00+0530,36433.6,36447.15,36433.6,36435.2
2021-09-13T09:52:00+0530,36431.45,36441.35,36430.6,36440.4
2021-09-13T09:53:00+0530,36440.2,36442.95,36433.05,36436.1
2021-09-13T09:54:00+0530,36435.8,36437.05,36400.1,36418.25
2021-09-13T09:55:00+0530,36415.6,36440.9,36412.85,36438.5
2021-09-13T09:56:00+0530,36444.7,36452,36440.85,36452
2021-09-13T09:57:00+0530,36448.8,36457.4,36434.4,36435.45
2021-09-13T09:58:00+0530,36436.15,36436.65,36410,36430.15
2021-09-13T09:59:00+0530,36431.95,36431.95,36418.05,36428.75
2021-09-13T10:00:00+0530,36426.25,36426.25,36370.55,36373.4
2021-09-13T10:01:00+0530,36374.25,36378.3,36366.75,36371.5
2021-09-13T10:02:00+0530,36371.85,36381.65,36368.7,36377.25
2021-09-13T10:03:00+0530,36376.9,36378.45,36366,36371.45
2021-09-13T10:04:00+0530,36368.7,36372.75,36359.15,36372.05
2021-09-13T10:05:00+0530,36370.75,36372.9,36347.35,36348.9
2021-09-13T10:06:00+0530,36349.8,36384.6,36349.8,36384.6
2021-09-13T10:07:00+0530,36382.4,36398.7,36380.8,36389.8
2021-09-13T10:08:00+0530,36388,36388,36374.5,36376
2021-09-13T10:09:00+0530,36376,36376,36328.9,36336.25
2021-09-13T10:10:00+0530,36334.5,36352.3,36331.9,36351.25
2021-09-13T10:11:00+0530,36348.85,36352.8,36337.7,36338.95
2021-09-13T10:12:00+0530,36340.4,36342,36330.6,36338.75
2021-09-13T10:13:00+0530,36338.55,36341.25,36329.9,36341.15
2021-09-13T10:14:00+0530,36342.25,36367.3,36338.8,36361.1
2021-09-13T10:15:00+0530,36349.3,36372.15,36346.65,36363.45
2021-09-13T10:16:00+0530,36358.75,36396,36352.85,36392.75
2021-09-13T10:17:00+0530,36394.4,36401.1,36384.05,36388.6
2021-09-13T10:18:00+0530,36388.35,36395.6,36381.05,36393.8
2021-09-13T10:19:00+0530,36392.4,36395.65,36375.9,36392.65
2021-09-13T10:20:00+0530,36393.35,36399.5,36370.1,36374.5
2021-09-13T10:21:00+0530,36372.3,36377.5,36365.55,36368.75
2021-09-13T10:22:00+0530,36369.35,36371.55,36358.7,36362.45
2021-09-13T10:23:00+0530,36365.3,36365.3,36355.4,36362.55
2021-09-13T10:24:00+0530,36360.15,36367.3,36358.05,36363
2021-09-13T10:25:00+0530,36366.05,36370.1,36354,36367.85
2021-09-13T10:26:00+0530,36369.35,36373.35,36362.85,36371.65
2021-09-13T10:27:00+0530,36373.15,36394.1,36369.7,36391.3
2021-09-13T10:28:00+0530,36389.8,36414.9,36379.35,36408.5
2021-09-13T10:29:00+0530,36408.65,36409.55,36391.85,36391.85
2021-09-13T10:30:00+0530,36392.95,36398.15,36389.9,36398
2021-09-13T10:31:00+0530,36400.1,36404.05,36387.45,36404.05
2021-09-13T10:32:00+0530,36402.1,36426.35,36400,36422.8
2021-09-13T10:33:00+0530,36420.8,36421.55,36408.25,36414.4
2021-09-13T10:34:00+0530,36414.2,36420.9,36411.95,36419.55
2021-09-13T10:35:00+0530,36419.9,36428.15,36405.85,36406.75
2021-09-13T10:36:00+0530,36405.7,36406.25,36384.15,36387.6
2021-09-13T10:37:00+0530,36389.65,36391.2,36385.15,36390.25
2021-09-13T10:38:00+0530,36390.25,36399.95,36377.75,36394.65
2021-09-13T10:39:00+0530,36398.8,36398.8,36381.95,36391.15
2021-09-13T10:40:00+0530,36389.75,36394.8,36386.6,36393.25
2021-09-13T10:41:00+0530,36392.3,36407.3,36392.3,36406.8
2021-09-13T10:42:00+0530,36406.65,36415.1,36403.25,36413.9
2021-09-13T10:43:00+0530,36416.75,36418.3,36402.9,36407.95
2021-09-13T10:44:00+0530,36407.85,36415.45,36405.25,36415.45
2021-09-13T10:45:00+0530,36416.4,36416.5,36409.8,36414.2
2021-09-13T10:46:00+0530,36413.2,36413.2,36402.95,36407.6
2021-09-13T10:47:00+0530,36406.85,36409.9,36402.65,36409.9
2021-09-13T10:48:00+0530,36409.45,36412.75,36393.2,36398.7
2021-09-13T10:49:00+0530,36398.6,36429.15,36398.6,36409.4
2021-09-13T10:50:00+0530,36412.4,36412.6,36398.35,36398.35
2021-09-13T10:51:00+0530,36397.75,36401.8,36394.9,36398.5
2021-09-13T10:52:00+0530,36398.75,36399.8,36388.7,36389.5
2021-09-13T10:53:00+0530,36392.8,36398.45,36389.2,36394.25
2021-09-13T10:54:00+0530,36397.8,36403.2,36392.75,36400.55
2021-09-13T10:55:00+0530,36401.2,36401.2,36389.5,36392.05
2021-09-13T10:56:00+0530,36392.05,36415.7,36390,36415.7
2021-09-13T10:57:00+0530,36416.55,36416.55,36405.75,36408.4
2021-09-13T10:58:00+0530,36406.45,36409.2,36395.5,36395.7
