Date,Open,High,Low
2021-09-03T09:15:00+0530,36883.65,36996.9,36883.65
2021-09-03T09:16:00+0530,36991.05,37007.8,36977.75
2021-09-03T09:17:00+0530,36984.8,37026.9,36967.6
2021-09-03T09:18:00+0530,37028.95,37086.8,37028.95
2021-09-03T09:19:00+0530,37080.8,37095.2,37072.45
2021-09-03T09:20:00+0530,37099.55,37124.2,37065.65
2021-09-03T09:21:00+0530,37119.7,37119.7,37073.85
2021-09-03T09:22:00+0530,37071.35,37077.2,37034.95
2021-09-03T09:23:00+0530,37035.3,37070.3,37031.95
2021-09-03T09:24:00+0530,37053.95,37072.05,37045.45
2021-09-03T09:25:00+0530,37057.2,37072.45,37041.65
2021-09-03T09:26:00+0530,37058.0,37084.35,37053.75
2021-09-03T09:27:00+0530,37085.35,37097.8,37070.55
2021-09-03T09:28:00+0530,37084.8,37115.5,37082.95
2021-09-03T09:29:00+0530,37100.75,37112.05,37086.45
2021-09-03T09:30:00+0530,37095.2,37122.35,37094.0
2021-09-03T09:31:00+0530,37103.6,37103.6,37077.1
2021-09-03T09:32:00+0530,37076.85,37109.65,37073.3
2021-09-03T09:33:00+0530,37107.6,37138.65,37097.5
2021-09-03T09:34:00+0530,37110.55,37115.2,37095.85
2021-09-03T09:35:00+0530,37100.25,37102.25,37063.35
2021-09-03T09:36:00+0530,37052.3,37065.6,37027.95
2021-09-03T09:37:00+0530,37030.1,37055.45,37030.1
2021-09-03T09:38:00+0530,37041.55,37061.35,37035.5
2021-09-03T09:39:00+0530,37034.65,37046.9,37011.3
2021-09-03T09:40:00+0530,37033.6,37035.75,37025.85
2021-09-03T09:41:00+0530,37032.1,37064.65,37028.1
2021-09-03T09:42:00+0530,37043.25,37055.4,37043.25
2021-09-03T09:43:00+0530,37046.6,37046.6,37032.25
2021-09-03T09:44:00+0530,37043.4,37051.1,37026.85
2021-09-03T09:45:00+0530,37036.85,37037.8,36998.35
2021-09-03T09:46:00+0530,37020.4,37021.0,37004.9
2021-09-03T09:47:00+0530,37019.25,37036.75,37009.75
2021-09-03T09:48:00+0530,37036.95,37083.1,37034.2
2021-09-03T09:49:00+0530,37068.45,37082.7,37057.5
