,Date,Open,High,Low
750,2021-08-17T09:15:00+0530,35935.05,35983.8,35930.9
751,2021-08-17T09:16:00+0530,35939.3,35939.3,35898.6
752,2021-08-17T09:17:00+0530,35921.8,35921.8,35877.05
753,2021-08-17T09:18:00+0530,35884.6,35898.25,35869.55
754,2021-08-17T09:19:00+0530,35891.95,35921.0,35891.95
755,2021-08-17T09:20:00+0530,35918.2,35918.2,35853.15
756,2021-08-17T09:21:00+0530,35859.3,35868.1,35843.1
757,2021-08-17T09:22:00+0530,35871.7,35877.65,35855.4
758,2021-08-17T09:23:00+0530,35854.4,35867.15,35847.95
759,2021-08-17T09:24:00+0530,35867.05,35885.9,35860.65
760,2021-08-17T09:25:00+0530,35882.3,35918.5,35879.45
761,2021-08-17T09:26:00+0530,35902.85,35935.85,35902.25
762,2021-08-17T09:27:00+0530,35932.45,35938.1,35914.15
763,2021-08-17T09:28:00+0530,35915.2,35918.75,35907.45
764,2021-08-17T09:29:00+0530,35916.6,35923.75,35892.7
765,2021-08-17T09:30:00+0530,35889.6,35892.3,35849.7
766,2021-08-17T09:31:00+0530,35881.7,35881.7,35867.1
767,2021-08-17T09:32:00+0530,35868.15,35883.95,35856.95
768,2021-08-17T09:33:00+0530,35882.2,35911.45,35882.2
769,2021-08-17T09:34:00+0530,35905.95,35909.7,35892.7
770,2021-08-17T09:35:00+0530,35895.65,35899.35,35885.7
771,2021-08-17T09:36:00+0530,35891.6,35897.35,35888.55
772,2021-08-17T09:37:00+0530,35896.85,35900.05,35884.1
773,2021-08-17T09:38:00+0530,35885.1,35889.85,35876.85
774,2021-08-17T09:39:00+0530,35884.4,35884.4,35863.0
775,2021-08-17T09:40:00+0530,35864.55,35869.9,35856.15
776,2021-08-17T09:41:00+0530,35863.9,35877.45,35854.65
777,2021-08-17T09:42:00+0530,35869.95,35869.95,35855.15
778,2021-08-17T09:43:00+0530,35855.8,35869.55,35854.75
779,2021-08-17T09:44:00+0530,35867.65,35869.75,35861.85
780,2021-08-17T09:45:00+0530,35864.2,35864.2,35857.2
781,2021-08-17T09:46:00+0530,35858.75,35872.05,35849.9
782,2021-08-17T09:47:00+0530,35849.35,35855.3,35844.75
783,2021-08-17T09:48:00+0530,35852.55,35852.55,35830.7
784,2021-08-17T09:49:00+0530,35831.95,35832.3,35815.05
785,2021-08-17T09:50:00+0530,35825.45,35834.25,35807.85
786,2021-08-17T09:51:00+0530,35811.15,35811.5,35783.45
787,2021-08-17T09:52:00+0530,35790.05,35810.65,35788.05
788,2021-08-17T09:53:00+0530,35803.4,35811.0,35800.5
789,2021-08-17T09:54:00+0530,35811.0,35811.4,35785.7
790,2021-08-17T09:55:00+0530,35783.35,35790.0,35778.85
791,2021-08-17T09:56:00+0530,35786.35,35788.45,35769.1
792,2021-08-17T09:57:00+0530,35771.25,35773.2,35739.8
793,2021-08-17T09:58:00+0530,35749.3,35751.85,35734.75
794,2021-08-17T09:59:00+0530,35743.1,35743.45,35722.1
795,2021-08-17T10:00:00+0530,35727.75,35753.85,35724.35
796,2021-08-17T10:01:00+0530,35740.35,35761.95,35738.3
797,2021-08-17T10:02:00+0530,35765.55,35769.95,35758.25
798,2021-08-17T10:03:00+0530,35765.8,35780.95,35763.45
799,2021-08-17T10:04:00+0530,35779.35,35782.0,35768.45
800,2021-08-17T10:05:00+0530,35777.45,35795.4,35777.45
801,2021-08-17T10:06:00+0530,35791.95,35798.95,35776.7
802,2021-08-17T10:07:00+0530,35798.8,35812.85,35793.65
803,2021-08-17T10:08:00+0530,35805.3,35807.8,35795.8
804,2021-08-17T10:09:00+0530,35798.35,35804.35,35777.35
805,2021-08-17T10:10:00+0530,35780.15,35781.25,35772.3
806,2021-08-17T10:11:00+0530,35775.5,35780.7,35769.0
807,2021-08-17T10:12:00+0530,35777.95,35785.65,35772.2
808,2021-08-17T10:13:00+0530,35780.4,35813.7,35780.4
809,2021-08-17T10:14:00+0530,35810.0,35816.25,35785.0
810,2021-08-17T10:15:00+0530,35781.9,35806.3,35771.6
811,2021-08-17T10:16:00+0530,35798.0,35799.55,35786.45
812,2021-08-17T10:17:00+0530,35794.5,35820.45,35788.65
813,2021-08-17T10:18:00+0530,35797.85,35812.1,35791.9
814,2021-08-17T10:19:00+0530,35795.45,35802.65,35789.75
815,2021-08-17T10:20:00+0530,35790.65,35807.85,35789.3
816,2021-08-17T10:21:00+0530,35805.5,35809.55,35801.3
817,2021-08-17T10:22:00+0530,35808.95,35811.45,35794.15
818,2021-08-17T10:23:00+0530,35797.95,35811.2,35794.3
819,2021-08-17T10:24:00+0530,35801.05,35801.05,35794.85
820,2021-08-17T10:25:00+0530,35802.5,35807.45,35797.25
821,2021-08-17T10:26:00+0530,35806.35,35807.15,35787.6
822,2021-08-17T10:27:00+0530,35789.8,35797.15,35786.95
823,2021-08-17T10:28:00+0530,35791.85,35794.65,35784.6
824,2021-08-17T10:29:00+0530,35790.35,35792.1,35782.6
825,2021-08-17T10:30:00+0530,35789.35,35790.55,35783.95
826,2021-08-17T10:31:00+0530,35785.85,35789.9,35775.5
827,2021-08-17T10:32:00+0530,35782.0,35820.55,35778.9
828,2021-08-17T10:33:00+0530,35813.4,35847.45,35811.7
